service_id,date,exception_type
6,20160324,1
10,20160324,1
16,20160324,1
17,20160324,1
19,20160324,1
22,20160324,1
30,20160324,1
44,20160324,1
45,20160324,1
62,20160324,1
75,20160324,1
90,20160324,1
101,20160324,1
6,20160325,1
7,20160325,1
10,20160325,1
16,20160325,1
17,20160325,1
19,20160325,1
22,20160325,1
30,20160325,1
44,20160325,1
45,20160325,1
61,20160325,1
90,20160325,1
104,20160325,1
2,20160326,1
7,20160326,1
16,20160326,1
19,20160326,1
27,20160326,1
30,20160326,1
44,20160326,1
82,20160326,1
96,20160326,1
5,20160327,1
44,20160327,1
82,20160327,1
98,20160327,1
5,20160328,1
22,20160328,1
34,20160328,1
44,20160328,1
75,20160328,1
82,20160328,1
6,20160329,1
10,20160329,1
17,20160329,1
19,20160329,1
22,20160329,1
30,20160329,1
44,20160329,1
45,20160329,1
51,20160329,1
75,20160329,1
86,20160329,1
101,20160329,1
1,20160330,1
4,20160330,1
17,20160330,1
19,20160330,1
22,20160330,1
44,20160330,1
45,20160330,1
75,20160330,1
86,20160330,1
96,20160330,1
101,20160330,1
104,20160330,1
1,20160331,1
10,20160331,1
17,20160331,1
19,20160331,1
22,20160331,1
31,20160331,1
44,20160331,1
45,20160331,1
62,20160331,1
75,20160331,1
86,20160331,1
101,20160331,1
7,20160401,1
9,20160401,1
12,20160401,1
13,20160401,1
15,20160401,1
18,20160401,1
20,20160401,1
21,20160401,1
22,20160401,1
23,20160401,1
36,20160401,1
42,20160401,1
45,20160401,1
49,20160401,1
50,20160401,1
52,20160401,1
53,20160401,1
59,20160401,1
60,20160401,1
61,20160401,1
64,20160401,1
65,20160401,1
68,20160401,1
70,20160401,1
77,20160401,1
78,20160401,1
87,20160401,1
103,20160401,1
3,20160402,1
7,20160402,1
15,20160402,1
21,20160402,1
23,20160402,1
25,20160402,1
27,20160402,1
49,20160402,1
60,20160402,1
87,20160402,1
92,20160402,1
95,20160402,1
103,20160402,1
14,20160403,1
29,20160403,1
47,20160403,1
49,20160403,1
80,20160403,1
92,20160403,1
98,20160403,1
103,20160403,1
9,20160404,1
11,20160404,1
13,20160404,1
18,20160404,1
20,20160404,1
21,20160404,1
22,20160404,1
23,20160404,1
34,20160404,1
38,20160404,1
41,20160404,1
42,20160404,1
49,20160404,1
52,20160404,1
53,20160404,1
56,20160404,1
59,20160404,1
64,20160404,1
68,20160404,1
73,20160404,1
74,20160404,1
75,20160404,1
87,20160404,1
89,20160404,1
103,20160404,1
9,20160405,1
12,20160405,1
13,20160405,1
15,20160405,1
18,20160405,1
20,20160405,1
21,20160405,1
22,20160405,1
23,20160405,1
38,20160405,1
40,20160405,1
45,20160405,1
49,20160405,1
50,20160405,1
53,20160405,1
57,20160405,1
60,20160405,1
64,20160405,1
65,20160405,1
68,20160405,1
70,20160405,1
73,20160405,1
75,20160405,1
78,20160405,1
89,20160405,1
94,20160405,1
101,20160405,1
103,20160405,1
8,20160406,1
12,20160406,1
13,20160406,1
15,20160406,1
18,20160406,1
20,20160406,1
21,20160406,1
22,20160406,1
23,20160406,1
35,20160406,1
38,20160406,1
41,20160406,1
42,20160406,1
45,20160406,1
48,20160406,1
49,20160406,1
59,20160406,1
60,20160406,1
64,20160406,1
65,20160406,1
70,20160406,1
74,20160406,1
75,20160406,1
77,20160406,1
78,20160406,1
89,20160406,1
94,20160406,1
95,20160406,1
101,20160406,1
103,20160406,1
9,20160407,1
12,20160407,1
13,20160407,1
15,20160407,1
18,20160407,1
20,20160407,1
21,20160407,1
22,20160407,1
23,20160407,1
38,20160407,1
45,20160407,1
48,20160407,1
49,20160407,1
50,20160407,1
53,20160407,1
57,20160407,1
58,20160407,1
59,20160407,1
60,20160407,1
65,20160407,1
69,20160407,1
73,20160407,1
74,20160407,1
75,20160407,1
78,20160407,1
89,20160407,1
94,20160407,1
101,20160407,1
103,20160407,1
7,20160408,1
9,20160408,1
12,20160408,1
13,20160408,1
15,20160408,1
18,20160408,1
20,20160408,1
21,20160408,1
22,20160408,1
23,20160408,1
36,20160408,1
42,20160408,1
45,20160408,1
49,20160408,1
50,20160408,1
52,20160408,1
53,20160408,1
59,20160408,1
60,20160408,1
61,20160408,1
64,20160408,1
65,20160408,1
68,20160408,1
70,20160408,1
77,20160408,1
78,20160408,1
87,20160408,1
89,20160408,1
103,20160408,1
3,20160409,1
7,20160409,1
15,20160409,1
21,20160409,1
23,20160409,1
25,20160409,1
27,20160409,1
49,20160409,1
60,20160409,1
87,20160409,1
92,20160409,1
95,20160409,1
103,20160409,1
14,20160410,1
29,20160410,1
47,20160410,1
49,20160410,1
80,20160410,1
92,20160410,1
98,20160410,1
103,20160410,1
9,20160411,1
11,20160411,1
13,20160411,1
18,20160411,1
20,20160411,1
21,20160411,1
22,20160411,1
23,20160411,1
34,20160411,1
38,20160411,1
41,20160411,1
42,20160411,1
49,20160411,1
52,20160411,1
53,20160411,1
56,20160411,1
59,20160411,1
64,20160411,1
68,20160411,1
73,20160411,1
74,20160411,1
75,20160411,1
87,20160411,1
